Employee_ID,Age,Performance_Score,Leadership_Score,Training_Hours,Projects_Handled,Peer_Review_Score,Current_Position_Level,Salary
EMP0001,24,2,44,42,19,61,Junior,6500000
EMP0002,50,5,45,66,11,6,Junior,6500000
EMP0003,56,5,19,96,6,86,Lead,27500000
EMP0004,39,4,51,16,6,52,Senior,22500000
EMP0005,41,4,64,57,16,59,Junior,6500000
EMP0006,44,1,76,143,19,32,Junior,6500000
EMP0007,55,4,75,98,5,91,Senior,22500000
EMP0008,41,3,67,145,8,19,Mid,11500000
EMP0009,31,2,75,184,19,36,Junior,6500000
EMP0010,54,1,92,71,1,1,Mid,11500000
EMP0011,54,4,51,63,5,94,Mid,11500000
EMP0012,47,4,15,108,10,34,Junior,6500000
EMP0013,41,1,95,127,2,87,Mid,11500000
EMP0014,36,4,47,61,14,53,Lead,27500000
EMP0015,58,4,22,143,14,48,Junior,6500000
EMP0016,54,4,1,186,2,3,Lead,27500000
EMP0017,38,1,69,31,10,68,Lead,27500000
EMP0018,26,3,51,72,2,51,Junior,6500000
EMP0019,25,1,93,57,17,87,Senior,22500000
EMP0020,24,1,62,36,12,73,Lead,27500000
EMP0021,42,4,27,18,18,50,Junior,6500000
EMP0022,24,3,22,122,6,77,Senior,22500000
EMP0023,42,2,1,197,10,80,Mid,11500000
EMP0024,29,5,33,102,18,51,Senior,22500000
EMP0025,57,2,80,180,10,88,Lead,27500000
EMP0026,50,4,88,4,7,62,Junior,6500000
EMP0027,55,2,10,131,16,56,Mid,11500000
EMP0028,43,3,51,40,14,12,Lead,27500000
EMP0029,52,3,52,102,0,8,Junior,6500000
EMP0030,49,4,62,192,2,4,Mid,11500000
EMP0031,56,3,61,13,8,51,Mid,11500000
EMP0032,55,4,38,170,13,16,Lead,27500000
EMP0033,34,4,18,38,14,2,Mid,11500000
EMP0034,25,1,1,56,18,75,Senior,22500000
EMP0035,27,2,42,80,10,45,Senior,22500000
EMP0036,22,1,30,31,14,53,Lead,27500000
EMP0037,33,4,64,79,10,19,Lead,27500000
EMP0038,56,5,51,82,17,21,Junior,6500000
EMP0039,32,5,51,28,15,41,Lead,27500000
EMP0040,44,4,63,170,10,78,Junior,6500000
EMP0041,35,5,10,128,10,39,Mid,11500000
EMP0042,40,2,89,115,7,54,Lead,27500000
EMP0043,58,1,12,74,10,6,Mid,11500000
EMP0044,37,2,92,49,19,68,Mid,11500000
EMP0045,49,3,62,25,10,64,Lead,27500000
EMP0046,52,1,51,171,2,79,Senior,22500000
EMP0047,28,1,49,72,5,59,Junior,6500000
EMP0048,48,2,12,179,17,73,Senior,22500000
EMP0050,28,4,29,102,19,98,Senior,22500000
EMP0051,36,2,53,94,13,13,Senior,22500000
EMP0052,33,5,36,157,10,33,Lead,27500000
EMP0053,29,2,24,92,12,46,Lead,27500000
EMP0054,23,5,34,142,2,15,Senior,22500000
EMP0055,59,2,45,36,13,74,Junior,6500000
EMP0056,47,4,54,189,3,21,Junior,6500000
EMP0057,42,3,81,84,11,25,Lead,27500000
EMP0058,34,3,16,106,8,7,Senior,22500000
EMP0059,40,4,62,60,1,7,Senior,22500000
EMP0060,39,3,13,147,18,6,Mid,11500000
EMP0061,23,5,14,153,1,60,Mid,11500000
EMP0062,49,4,76,161,8,39,Lead,27500000
EMP0063,44,3,3,130,18,51,Junior,6500000
EMP0064,25,3,2,192,16,28,Junior,6500000
EMP0065,25,2,44,101,12,24,Junior,6500000
EMP0066,33,1,19,171,17,82,Junior,6500000
EMP0067,43,2,9,127,4,36,Senior,22500000
EMP0068,41,1,24,31,18,15,Senior,22500000
EMP0069,56,4,3,192,4,67,Mid,11500000
EMP0070,25,2,83,189,11,25,Senior,22500000
EMP0071,33,4,86,91,18,0,Lead,27500000
EMP0072,25,3,3,180,7,27,Lead,27500000
EMP0073,52,2,8,5,9,51,Mid,11500000
EMP0074,28,5,56,66,15,32,Senior,22500000
EMP0075,31,3,47,92,9,69,Senior,22500000
EMP0076,45,5,28,196,19,85,Mid,11500000
EMP0077,36,5,57,171,9,23,Mid,11500000
EMP0078,41,1,88,191,8,68,Mid,11500000
EMP0079,28,5,34,102,4,60,Lead,27500000
EMP0080,34,2,13,105,6,84,Junior,6500000
EMP0081,49,4,33,24,4,46,Lead,27500000
EMP0082,39,5,45,197,14,25,Mid,11500000
EMP0083,32,1,11,111,10,92,Mid,11500000
EMP0084,57,5,63,141,16,52,Mid,11500000
EMP0085,57,4,47,89,10,81,Mid,11500000
EMP0086,23,2,89,91,19,51,Junior,6500000
EMP0087,38,5,78,21,2,34,Junior,6500000
EMP0088,27,3,65,41,19,19,Mid,11500000
EMP0089,44,4,6,9,9,32,Senior,22500000
EMP0090,37,5,89,91,13,51,Mid,11500000
EMP0091,47,4,20,84,0,65,Junior,6500000
EMP0092,22,4,51,132,14,20,Junior,6500000
EMP0093,57,4,59,131,17,86,Mid,11500000
EMP0094,51,4,27,148,10,51,Junior,6500000
EMP0095,23,1,60,120,3,82,Lead,27500000
EMP0096,41,1,35,66,4,98,Mid,11500000
EMP0097,26,1,89,93,5,14,Junior,6500000
EMP0098,52,3,28,123,16,47,Lead,27500000
EMP0099,29,2,21,125,9,31,Junior,6500000
EMP0100,51,3,78,89,16,88,Junior,6500000
EMP0101,23,1,21,139,17,34,Lead,27500000
EMP0102,34,4,39,141,5,79,Mid,11500000
EMP0103,25,1,84,110,9,47,Mid,11500000
EMP0104,29,3,30,136,8,10,Senior,22500000
EMP0105,46,1,6,49,3,75,Mid,11500000
EMP0106,41,4,66,93,16,18,Senior,22500000
EMP0107,35,1,95,118,19,51,Lead,27500000
EMP0108,50,2,67,86,10,11,Lead,27500000
EMP0109,42,4,53,46,4,25,Junior,6500000
EMP0110,58,2,27,145,6,48,Junior,6500000
EMP0111,54,5,72,132,6,55,Junior,6500000
EMP0112,46,5,69,11,8,39,Mid,11500000
EMP0113,35,5,3,32,15,79,Senior,22500000
EMP0114,30,3,44,101,9,5,Junior,6500000
